Date,Header,Description,Category,URLS
04 May 2020,"US coronavirus deaths rise by 1,450 in 24 hours: Johns Hopkins","[WASHINGTON] Novel coronavirus deaths in the United States climbed by 1,450 in the past 24 hours, a tally by Johns Hopkins University showed Sunday, bringing the total number of fatalities to more than 67,600.
",government-economy,https://www.businesstimes.com.sg/government-economy/us-coronavirus-deaths-rise-by-1450-in-24-hours-johns-hopkins
04 May 2020,Trump says US to have coronavirus vaccine by end of year,"[WASHINGTON] President Donald Trump on Sunday said the United States will have a coronavirus vaccine by the end of this year.
",government-economy,https://www.businesstimes.com.sg/government-economy/trump-says-us-to-have-coronavirus-vaccine-by-end-of-year
04 May 2020,Brazil's Bolsonaro headlines anti-democratic rally amid alarm over handling of coronavirus,"[BRASILIA] Brazilian President Jair Bolsonaro attacked Congress and the courts in a speech to hundreds of supporters on Sunday as the number of coronavirus cases blew past 100,000 in Brazil, underlining the former army captain's increasing isolation as he downplays the impacts of the pandemic.
",government-economy,https://www.businesstimes.com.sg/government-economy/brazils-bolsonaro-headlines-anti-democratic-rally-amid-alarm-over-handling-of
04 May 2020,Greece sees economy tanking this year on coronavirus impact,"[ATHENS] Greece expects its economy to contract by 4.7 per cent to 8.9 per cent this year under baseline and adverse scenarios taking into account the impact of the coronavirus pandemic in the government's 2020-21 stability programme submitted to the EU Commission projects.
",government-economy,https://www.businesstimes.com.sg/government-economy/greece-sees-economy-tanking-this-year-on-coronavirus-impact
04 May 2020,Coronavirus leaves America's municipal finances in tatters,"IN Dayton, Ohio, Mayor Nan Whaley has furloughed a quarter of the city's workforce and is warning that more cuts may follow. In Baltimore, which has one of the highest murder rates in the nation, Mayor Bernard Young is negotiating layoffs with the police union. And, in Houston, Mayor Sylvester Turner is deferring all five police cadet classes.
",government-economy,https://www.businesstimes.com.sg/government-economy/coronavirus-leaves-americas-municipal-finances-in-tatters
02 May 2020,Small coronavirus outbreak at Australian meat factory as cases keep dropping,"[MELBOURNE] A small coronavirus cluster has emerged at a meat factory in the Australian state of Victoria, health officials said on Saturday, as parts of the country started easing social distancing restrictions after suppressing the infection rate to below 1 per cent.",government-economy,https://www.businesstimes.com.sg/government-economy/small-coronavirus-outbreak-at-australian-meat-factory-as-cases-keep-dropping
02 May 2020,Will US exchange trading floors still be relevant post-coronavirus?,"[NEW YORK] The coronavirus pandemic has upended US equities trading with unprecedented market volatility and forced bourses like the New York Stock Exchange (NYSE) to close their trading floors, raising questions about the need for such spaces.
",banking-finance,https://www.businesstimes.com.sg/banking-finance/will-us-exchange-trading-floors-still-be-relevant-post-coronavirus
02 May 2020,"Malaysia rounding up migrants to contain coronavirus spread, police say","[KUALA LUMPUR] Malaysian authorities are rounding up undocumented migrants as part of efforts to contain the spread of coronavirus, the country's police chief said late on Friday, after hundreds of migrants and refugees were detained in the capital Kuala Lumpur.
",government-economy,https://www.businesstimes.com.sg/government-economy/malaysia-rounding-up-migrants-to-contain-coronavirus-spread-police-say
02 May 2020,China reports one new coronavirus case versus 12 a day earlier,"[BEIJING] China reported one new coronavirus case for May 1, down from 12 a day earlier, data from the country's health authority showed on Saturday.
",government-economy,https://www.businesstimes.com.sg/government-economy/china-reports-one-new-coronavirus-case-versus-12-a-day-earlier
02 May 2020,US coronavirus stimulus went to some healthcare providers facing criminal inquiries,"[WASHINGTON] Eager to bolster the healthcare system during the coronavirus pandemic, the US government last month sped US$30 billion in stimulus payments to most healthcare providers that billed Medicare last year.",government-economy,https://www.businesstimes.com.sg/government-economy/us-coronavirus-stimulus-went-to-some-healthcare-providers-facing-criminal
02 May 2020,US Republicans push for coronavirus lawsuit immunity for business,"[WASHINGTON] The top Republicans in the US Congress displayed a united front on Friday in their drive for coronavirus-related liability protections for businesses, saying such measures will be crucial to talks about future relief legislation.
",government-economy,https://www.businesstimes.com.sg/government-economy/us-republicans-push-for-coronavirus-lawsuit-immunity-for-business
